restaurant_name,restaurant_address,restaurant_latitude,restaurant_longitude,restaurant_tel,restaurant_url,drink_name,drink_price
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,みむろ杉,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,越乃寒梅,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,浦霞,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,日高見,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,片野桜,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,酔鯨,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,山本,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,磯自慢,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,出羽桜,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,開運,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,天狗舞,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,大七,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,仙禽,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,久保田,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,獺祭,-
